Date,Meninggal (baru),Sembuh (baru)
19 Mar 2020,25,15
20 Mar 2020,7,2
21 Mar 2020,6,3
22 Mar 2020,10,9
23 Mar 2020,1,1
24 Mar 2020,6,0
25 Mar 2020,3,1
26 Mar 2020,20,4
27 Mar 2020,9,11
28 Mar 2020,15,13
29 Mar 2020,12,5
30 Mar 2020,8,11
31 Mar 2020,14,6
1 Apr 2020,21,22
2 Apr 2020,13,9
3 Apr 2020,11,22
4 Apr 2020,10,16
5 Apr 2020,7,14
6 Apr 2020,11,28
7 Apr 2020,12,12
8 Apr 2020,19,18
9 Apr 2020,40,30
10 Apr 2020,26,30
11 Apr 2020,21,4
12 Apr 2020,46,73
13 Apr 2020,26,21
14 Apr 2020,60,46
15 Apr 2020,10,20
16 Apr 2020,27,102
17 Apr 2020,24,59
18 Apr 2020,15,24
19 Apr 2020,47,55
20 Apr 2020,8,60
21 Apr 2020,26,96
22 Apr 2020,19,71
23 Apr 2020,12,47
24 Apr 2020,42,42
25 Apr 2020,31,40
26 Apr 2020,23,65
27 Apr 2020,22,44
28 Apr 2020,8,103
29 Apr 2020,11,137
30 Apr 2020,8,131
1 Mei 2020,8,69
2 Mei 2020,31,74
3 Mei 2020,14,211
4 Mei 2020,19,78
5 Mei 2020,8,243
6 Mei 2020,23,120
7 Mei 2020,35,64
8 Mei 2020,13,113
9 Mei 2020,16,113
10 Mei 2020,14,91
11 Mei 2020,18,183
12 Mei 2020,16,182
13 Mei 2020,21,224
14 Mei 2020,15,231
15 Mei 2020,33,285
16 Mei 2020,13,108
17 Mei 2020,59,218
18 Mei 2020,43,195
19 Mei 2020,30,143
20 Mei 2020,21,108
21 Mei 2020,36,263
22 Mei 2020,48,219
23 Mei 2020,25,192
24 Mei 2020,21,153
25 Mei 2020,19,240
26 Mei 2020,27,235
27 Mei 2020,55,180
28 Mei 2020,23,183
29 Mei 2020,24,252
30 Mei 2020,53,523
31 Mei 2020,40,293
1 Jun 2020,28,329
2 Jun 2020,22,298
3 Jun 2020,35,471
4 Jun 2020,23,486
5 Jun 2020,49,551
6 Jun 2020,31,464
7 Jun 2020,50,591
8 Jun 2020,32,406
9 Jun 2020,40,510
10 Jun 2020,36,715
11 Jun 2020,41,507
12 Jun 2020,48,577
13 Jun 2020,43,563
14 Jun 2020,43,755
15 Jun 2020,64,592
16 Jun 2020,33,580
17 Jun 2020,45,540
18 Jun 2020,63,555
19 Jun 2020,34,551
20 Jun 2020,56,534
21 Jun 2020,36,521
22 Jun 2020,35,331
23 Jun 2020,35,506
24 Jun 2020,38,417
25 Jun 2020,47,791
26 Jun 2020,63,884
27 Jun 2020,37,576
28 Jun 2020,34,1027
29 Jun 2020,51,864
30 Jun 2020,71,1006
1 Jul 2020,58,789
2 Jul 2020,53,1072
3 Jul 2020,49,901
4 Jul 2020,53,651
5 Jul 2020,82,886
6 Jul 2020,70,814
7 Jul 2020,68,866
8 Jul 2020,50,800
9 Jul 2020,58,1066
10 Jul 2020,52,878
11 Jul 2020,66,1190
12 Jul 2020,71,919
13 Jul 2020,50,1051
14 Jul 2020,54,947
15 Jul 2020,87,1414
16 Jul 2020,76,1295
17 Jul 2020,84,1489
18 Jul 2020,59,1434
19 Jul 2020,127,2133
20 Jul 2020,96,1576
21 Jul 2020,81,1489
22 Jul 2020,139,1789
23 Jul 2020,117,1909
24 Jul 2020,89,1781
25 Jul 2020,49,1409
26 Jul 2020,67,1301
27 Jul 2020,57,1518
28 Jul 2020,63,2366
29 Jul 2020,74,1599
30 Jul 2020,83,2154
31 Jul 2020,73,1615
1 Agu 2020,62,2012
2 Agu 2020,43,1056
3 Agu 2020,66,1262
4 Agu 2020,86,1813
5 Agu 2020,64,1839
6 Agu 2020,69,1756
7 Agu 2020,72,1912
8 Agu 2020,65,1749
9 Agu 2020,65,1646
10 Agu 2020,42,1284
11 Agu 2020,59,1474
12 Agu 2020,79,2088
13 Agu 2020,65,1760
14 Agu 2020,53,2060
15 Agu 2020,50,1703
16 Agu 2020,79,1782
17 Agu 2020,57,1355
18 Agu 2020,70,1848
19 Agu 2020,69,2351
20 Agu 2020,72,2017
21 Agu 2020,82,2317
22 Agu 2020,94,2207
23 Agu 2020,86,2302
24 Agu 2020,79,3560
25 Agu 2020,99,1807
26 Agu 2020,86,2542
27 Agu 2020,120,3166
28 Agu 2020,105,2325
29 Agu 2020,92,1902
30 Agu 2020,82,1383
31 Agu 2020,74,1774
1 Sep 2020,88,2098
2 Sep 2020,111,1914
3 Sep 2020,134,2084
4 Sep 2020,82,2126
5 Sep 2020,108,2220
6 Sep 2020,85,2174
7 Sep 2020,105,2077
8 Sep 2020,100,2306
9 Sep 2020,106,2242
10 Sep 2020,120,2310
11 Sep 2020,88,2707
12 Sep 2020,106,2241
13 Sep 2020,73,2552
14 Sep 2020,118,3395
15 Sep 2020,124,2660
16 Sep 2020,135,3036
17 Sep 2020,122,2585
18 Sep 2020,114,4088
19 Sep 2020,112,3576
20 Sep 2020,105,2977
21 Sep 2020,124,3470
22 Sep 2020,160,3501
23 Sep 2020,140,3660
24 Sep 2020,128,3895
25 Sep 2020,113,4343
26 Sep 2020,90,3207
27 Sep 2020,78,3611
28 Sep 2020,87,3856
29 Sep 2020,128,3567
30 Sep 2020,139,4510
1 Okt 2020,116,3540
2 Okt 2020,116,2853
3 Okt 2020,83,3712
4 Okt 2020,96,3401
5 Okt 2020,102,4140
6 Okt 2020,121,3844
7 Okt 2020,98,3854
8 Okt 2020,108,3769
9 Okt 2020,97,3607
10 Okt 2020,88,3814
11 Okt 2020,79,3546
12 Okt 2020,91,3492
13 Okt 2020,92,4777
14 Okt 2020,129,4555
15 Okt 2020,112,5810
16 Okt 2020,79,3883
17 Okt 2020,84,4048
18 Okt 2020,80,3732
19 Okt 2020,106,3919
20 Okt 2020,117,4410
21 Okt 2020,123,3856
22 Okt 2020,102,3497
23 Okt 2020,118,4094
24 Okt 2020,128,4119
25 Okt 2020,94,4545
26 Okt 2020,112,3908
27 Okt 2020,101,4576
28 Okt 2020,100,3545
29 Okt 2020,89,3985
30 Okt 2020,81,4517
31 Okt 2020,87,3506
1 Nov 2020,74,4141
2 Nov 2020,101,3624
3 Nov 2020,102,3931
4 Nov 2020,113,3785
5 Nov 2020,89,3860
6 Nov 2020,94,3563
7 Nov 2020,98,3712
8 Nov 2020,74,3881
9 Nov 2020,75,3968
10 Nov 2020,72,3475
11 Nov 2020,75,3241
12 Nov 2020,97,3102
13 Nov 2020,104,3010
14 Nov 2020,111,3000
15 Nov 2020,63,3897
16 Nov 2020,85,3452
17 Nov 2020,97,3193
18 Nov 2020,110,3711
19 Nov 2020,97,4265
20 Nov 2020,78,3940
21 Nov 2020,96,3403
22 Nov 2020,110,4233
23 Nov 2020,118,4198
24 Nov 2020,109,2927
25 Nov 2020,114,4494
26 Nov 2020,127,3842
27 Nov 2020,169,3807
28 Nov 2020,125,4527
29 Nov 2020,169,3810
30 Nov 2020,130,4725
1 Des 2020,136,4361
2 Des 2020,118,4001
3 Des 2020,156,3673
4 Des 2020,124,3625
5 Des 2020,110,4271
6 Des 2020,151,4322
7 Des 2020,127,4431
8 Des 2020,133,4295
9 Des 2020,171,3948
10 Des 2020,165,4530
11 Des 2020,175,4911
12 Des 2020,142,4490
13 Des 2020,166,4460
14 Des 2020,137,5121
15 Des 2020,155,5699
16 Des 2020,137,5328
17 Des 2020,142,4995
18 Des 2020,124,5016
19 Des 2020,145,4265
20 Des 2020,221,5551
21 Des 2020,205,5073
22 Des 2020,172,5838
23 Des 2020,151,5981
24 Des 2020,181,5277
25 Des 2020,258,6324
26 Des 2020,147,6389
27 Des 2020,243,6983
28 Des 2020,215,6302
29 Des 2020,251,6805
30 Des 2020,241,6958
31 Des 2020,194,7356
1 Jan 2021,191,6839
2 Jan 2021,226,7582
3 Jan 2021,179,6419
4 Jan 2021,177,7166
5 Jan 2021,198,6643
6 Jan 2021,187,6767
7 Jan 2021,224,6924
8 Jan 2021,233,7446
9 Jan 2021,194,6628
10 Jan 2021,182,7513
11 Jan 2021,214,7715
12 Jan 2021,302,7068
13 Jan 2021,306,7657
14 Jan 2021,295,7741
15 Jan 2021,238,7491
16 Jan 2021,283,8662
17 Jan 2021,220,9102
18 Jan 2021,295,9475
19 Jan 2021,308,8013
20 Jan 2021,267,9755
21 Jan 2021,346,9087
22 Jan 2021,250,8357
23 Jan 2021,211,9912
24 Jan 2021,171,7751
25 Jan 2021,297,10678
26 Jan 2021,336,10868
27 Jan 2021,387,10974
28 Jan 2021,476,10792
29 Jan 2021,187,10138
30 Jan 2021,210,10242
31 Jan 2021,270,10719
1 Feb 2021,279,10461
2 Feb 2021,304,12848
3 Feb 2021,189,9135
4 Feb 2021,231,11641
5 Feb 2021,201,9674
6 Feb 2021,191,12204
7 Feb 2021,163,10806
8 Feb 2021,207,13038
9 Feb 2021,213,10424
10 Feb 2021,191,9520
11 Feb 2021,214,10145
12 Feb 2021,275,11000
13 Feb 2021,280,11919
14 Feb 2021,247,9237
15 Feb 2021,184,6792
16 Feb 2021,229,7609
17 Feb 2021,192,8002
18 Feb 2021,181,10546
19 Feb 2021,183,10783
20 Feb 2021,164,9835
21 Feb 2021,173,8236
22 Feb 2021,202,9918
23 Feb 2021,323,7996
24 Feb 2021,240,7735
25 Feb 2021,264,8686
26 Feb 2021,268,7261
27 Feb 2021,195,7382
28 Feb 2021,185,6649
1 Mar 2021,159,9212
2 Mar 2021,193,8948
3 Mar 2021,203,9053
4 Mar 2021,176,6440
5 Mar 2021,129,6331
6 Mar 2021,128,6823
7 Mar 2021,112,5146
8 Mar 2021,281,8725
9 Mar 2021,210,7496
10 Mar 2021,175,5556
11 Mar 2021,117,8170
12 Mar 2021,180,6851
13 Mar 2021,100,6016
14 Mar 2021,97,5647
15 Mar 2021,147,6830
16 Mar 2021,180,7716
17 Mar 2021,162,9010
18 Mar 2021,227,6285
19 Mar 2021,197,6007
20 Mar 2021,108,5760
21 Mar 2021,103,6065
22 Mar 2021,161,7177
23 Mar 2021,154,6954
24 Mar 2021,118,7622
25 Mar 2021,98,4656
26 Mar 2021,85,5679
27 Mar 2021,198,4243
28 Mar 2021,85,4279
29 Mar 2021,132,5418
30 Mar 2021,173,5877
31 Mar 2021,104,5635
1 Apr 2021,196,7248
2 Apr 2021,97,5439
3 Apr 2021,91,5197
4 Apr 2021,427,9663
5 Apr 2021,146,5800
6 Apr 2021,162,4296
7 Apr 2021,87,5769
8 Apr 2021,163,7640
9 Apr 2021,121,6277
10 Apr 2021,95,3629
11 Apr 2021,87,5219
12 Apr 2021,126,5289
13 Apr 2021,126,6349
14 Apr 2021,124,5747
15 Apr 2021,167,6362
16 Apr 2021,123,5975
17 Apr 2021,132,5963
18 Apr 2021,96,4873
19 Apr 2021,143,6349
20 Apr 2021,210,6728
21 Apr 2021,230,7314
22 Apr 2021,165,5993
23 Apr 2021,174,5920
24 Apr 2021,154,4953
25 Apr 2021,94,3804
26 Apr 2021,177,5589
27 Apr 2021,168,4884
28 Apr 2021,177,4818
29 Apr 2021,218,6015
30 Apr 2021,187,5202
1 Mei 2021,131,4344
2 Mei 2021,144,3740
3 Mei 2021,153,4773
4 Mei 2021,188,5658
5 Mei 2021,212,5943
6 Mei 2021,147,5440
7 Mei 2021,167,5891
8 Mei 2021,179,5494
9 Mei 2021,170,4360
10 Mei 2021,206,6338
11 Mei 2021,247,5592
12 Mei 2021,152,4671
13 Mei 2021,99,4201
14 Mei 2021,107,3807
15 Mei 2021,144,4181
16 Mei 2021,126,3790
17 Mei 2021,212,5754
18 Mei 2021,172,5628
19 Mei 2021,192,4364
20 Mei 2021,218,4969
21 Mei 2021,186,4570
22 Mei 2021,132,3353
23 Mei 2021,123,3550
24 Mei 2021,127,5234
25 Mei 2021,172,3795
26 Mei 2021,144,3189
27 Mei 2021,136,3924
28 Mei 2021,193,5370
29 Mei 2021,162,5417
30 Mei 2021,142,4024
31 Mei 2021,174,5121
1 Jun 2021,145,5360
2 Jun 2021,185,6022
3 Jun 2021,187,11092
4 Jun 2021,201,5950
5 Jun 2021,153,4241
6 Jun 2021,163,4187
7 Jun 2021,191,5594
8 Jun 2021,189,5805
9 Jun 2021,170,5883
10 Jun 2021,211,5661
11 Jun 2021,193,6230
12 Jun 2021,164,5292
13 Jun 2021,149,4655
14 Jun 2021,237,6143
15 Jun 2021,164,6407
16 Jun 2021,196,6229
17 Jun 2021,277,7350
18 Jun 2021,290,7907
19 Jun 2021,248,7016
20 Jun 2021,371,6385
21 Jun 2021,294,9233
22 Jun 2021,335,8375
23 Jun 2021,303,7167
24 Jun 2021,355,9201
25 Jun 2021,422,8557
26 Jun 2021,358,7396
27 Jun 2021,409,8024
28 Jun 2021,423,9480
29 Jun 2021,463,9645
30 Jun 2021,467,10807
1 Jul 2021,504,9874
2 Jul 2021,539,11578
3 Jul 2021,493,13282
4 Jul 2021,555,13127
5 Jul 2021,558,14416
6 Jul 2021,728,15863
7 Jul 2021,1040,14835
8 Jul 2021,852,21185
9 Jul 2021,871,28975
10 Jul 2021,826,28561
11 Jul 2021,1007,32615
12 Jul 2021,891,34754
13 Jul 2021,864,20123
14 Jul 2021,991,17762
15 Jul 2021,982,19049
16 Jul 2021,1205,28079
17 Jul 2021,1092,27903
18 Jul 2021,1093,29264
19 Jul 2021,1338,32217
20 Jul 2021,1280,29791
21 Jul 2021,1383,32887
22 Jul 2021,1449,36370
23 Jul 2021,1566,38988
24 Jul 2021,1415,39767
25 Jul 2021,1266,37640
26 Jul 2021,1487,40374
27 Jul 2021,2069,47128
28 Jul 2021,1824,43856
29 Jul 2021,1893,45494
30 Jul 2021,1759,44550
31 Jul 2021,1808,39372
1 Agu 2021,1604,39446
2 Agu 2021,1568,32807
3 Agu 2021,1598,31324
4 Agu 2021,1747,34251
5 Agu 2021,1739,39726
6 Agu 2021,1635,48832
7 Agu 2021,1588,39716
8 Agu 2021,1498,48508
9 Agu 2021,1475,44959
10 Agu 2021,2048,41486
